project_type,planned_duration,contract_value_lkr,project_size,labourers_count,material_availability,weather_condition,is_delayed,delay_days
Commercial,171,52.41,Medium,20,High,Clear,1,21
Residential,311,31.98,Small,23,Medium,Clear,1,104
Industrial,141,222.53,Large,95,Medium,Clear,1,54
Industrial,291,422.46,Large,83,High,Clear,1,60
Commercial,286,136.57,Medium,73,High,Rainy,0,0
Commercial,292,189.55,Medium,46,High,Clear,1,130
Residential,280,50.13,Medium,21,Low,Clear,0,0
Infrastructure,495,1197.86,Large,90,High,Rainy,0,0
Commercial,472,369.82,Large,116,High,Monsoon,1,71
Residential,481,85.89,Medium,33,High,Monsoon,0,0
Industrial,101,162.66,Medium,21,Medium,Rainy,1,33
Infrastructure,80,169.14,Medium,48,High,Clear,1,20
Industrial,101,91.2,Medium,34,Low,Rainy,1,32
Infrastructure,456,544.68,Large,71,Low,Rainy,1,148
Commercial,172,91.01,Medium,56,Medium,Clear,1,32
Commercial,164,113.27,Medium,47,Medium,Clear,1,57
Industrial,251,438.8,Large,143,High,Monsoon,1,106
Infrastructure,76,159.45,Medium,58,High,Clear,0,0
Residential,179,48.52,Small,14,Medium,Clear,0,0
Residential,452,99.72,Medium,65,High,Clear,0,0
Residential,484,129.27,Medium,33,High,Clear,0,0
Infrastructure,188,401.1,Large,160,Medium,Clear,1,37
Industrial,189,187.13,Medium,37,High,Rainy,1,74
Residential,119,25.04,Small,18,Low,Rainy,1,31
Commercial,107,75.15,Medium,53,High,Clear,1,37
Residential,88,9.61,Small,16,Medium,Monsoon,1,15
Industrial,156,241.88,Large,81,Medium,Clear,1,24
Infrastructure,69,76.07,Medium,25,Medium,Clear,1,14
Infrastructure,301,504.16,Large,95,High,Rainy,1,92
Commercial,373,262.64,Large,104,Medium,Rainy,1,121
Commercial,503,214.74,Large,95,Low,Rainy,0,0
Residential,291,43.41,Small,18,Medium,Monsoon,1,83
Residential,336,60.67,Medium,35,High,Rainy,0,0
Infrastructure,343,796.07,Large,120,Medium,Monsoon,1,52
Infrastructure,262,209.8,Large,159,Medium,Clear,0,0
Industrial,306,511.57,Large,115,High,Rainy,1,70
Industrial,349,244.28,Large,148,Low,Monsoon,1,172
Commercial,323,256.8,Large,155,High,Rainy,1,108
Infrastructure,502,1216.47,Large,92,Medium,Clear,0,0
Industrial,273,312.06,Large,104,Medium,Clear,0,0
Infrastructure,259,432.95,Large,95,Medium,Rainy,1,40
Residential,492,96.58,Medium,39,Low,Clear,1,63
Commercial,138,85.25,Medium,37,Low,Monsoon,0,0
Residential,460,54.35,Medium,57,High,Clear,0,0
Industrial,503,272.83,Large,126,High,Clear,0,0
Commercial,402,132.2,Medium,42,High,Monsoon,0,0
Residential,403,76.12,Medium,51,Medium,Clear,0,0
Commercial,232,101.56,Medium,64,Low,Clear,0,0
Commercial,526,321.4,Large,75,High,Rainy,0,0
Residential,128,38.21,Small,9,High,Rainy,0,0
Residential,475,84.2,Medium,23,High,Clear,1,172
Commercial,487,285.83,Large,80,Low,Monsoon,1,96
Commercial,508,257.96,Large,163,High,Clear,0,0
Infrastructure,146,327.09,Large,174,High,Rainy,1,18
Commercial,160,120.18,Medium,33,Medium,Clear,1,16
Infrastructure,67,153.53,Medium,58,Low,Rainy,1,21
Commercial,392,308.58,Large,154,Medium,Clear,1,108
Commercial,259,81.26,Medium,33,Medium,Clear,0,0
Infrastructure,146,325.24,Large,129,High,Clear,1,47
Commercial,102,68.94,Medium,31,Medium,Rainy,0,0
Residential,444,64.71,Medium,35,Medium,Clear,0,0
Residential,168,48.93,Small,21,Low,Rainy,0,0
Infrastructure,494,519.64,Large,168,High,Rainy,0,0
Commercial,467,298.77,Large,146,High,Clear,0,0
Infrastructure,211,249.47,Large,73,High,Clear,0,0
Residential,76,14.16,Small,11,High,Clear,0,0
Residential,192,46.82,Small,18,Low,Rainy,1,48
Residential,207,44.02,Small,19,High,Clear,0,0
Residential,336,62.33,Medium,63,Medium,Clear,0,0
Commercial,291,134.78,Medium,36,High,Rainy,0,0
Residential,373,99.94,Medium,60,High,Rainy,0,0
Commercial,474,176.28,Medium,73,Medium,Clear,1,165
Industrial,425,450.13,Large,170,High,Clear,1,67
Residential,287,80.58,Medium,63,High,Rainy,0,0
Commercial,198,143.14,Medium,53,Medium,Monsoon,0,0
Infrastructure,495,733.39,Large,64,Medium,Monsoon,1,232
Residential,458,115.7,Medium,64,High,Rainy,1,137
Commercial,270,192.13,Medium,46,Low,Clear,1,102
Infrastructure,450,1040.0,Large,175,Medium,Clear,1,78
Industrial,87,105.08,Medium,42,Medium,Clear,0,0
Residential,110,15.5,Small,12,High,Clear,0,0
Industrial,501,416.78,Large,137,High,Rainy,1,63
Commercial,320,143.31,Medium,34,High,Clear,1,84
Residential,320,70.0,Medium,62,High,Clear,0,0
Commercial,409,129.41,Medium,52,High,Monsoon,1,154
Industrial,411,545.34,Large,176,Low,Clear,1,68
Commercial,67,32.31,Small,7,Medium,Clear,0,0
Residential,379,60.28,Medium,36,High,Clear,0,0
Commercial,197,145.73,Medium,47,Medium,Rainy,0,0
Residential,97,18.62,Small,23,High,Rainy,0,0
Residential,170,20.23,Small,18,Medium,Clear,0,0
Residential,539,143.02,Medium,73,Medium,Clear,0,0
Residential,427,46.77,Small,12,Medium,Rainy,1,184
Residential,279,68.45,Medium,32,Low,Rainy,0,0
Residential,396,100.89,Medium,39,High,Monsoon,1,210
Commercial,282,134.32,Medium,54,Medium,Rainy,1,82
Residential,195,51.67,Medium,24,Low,Rainy,0,0
Residential,315,63.99,Medium,28,Medium,Clear,0,0
Infrastructure,419,665.2,Large,88,Medium,Clear,0,0
Commercial,468,151.02,Medium,25,Low,Clear,1,253
Commercial,388,172.67,Medium,44,High,Rainy,1,63
Residential,509,145.68,Medium,50,Low,Rainy,0,0
Residential,522,93.11,Medium,41,High,Clear,1,56
Residential,493,103.2,Medium,21,Medium,Clear,0,0
Residential,510,105.27,Medium,64,Low,Clear,0,0
Residential,108,23.55,Small,9,High,Monsoon,0,0
Residential,351,39.41,Small,12,Medium,Rainy,0,0
Residential,441,76.04,Medium,74,High,Rainy,0,0
Residential,383,93.69,Medium,20,Low,Rainy,1,54
Commercial,137,54.84,Medium,39,Low,Monsoon,1,60
Residential,164,23.08,Small,16,Medium,Rainy,0,0
Residential,228,23.26,Small,15,Medium,Rainy,1,27
Commercial,276,143.17,Medium,58,Low,Clear,1,150
Commercial,437,323.98,Large,170,High,Clear,0,0
Residential,178,19.65,Small,15,High,Clear,0,0
Infrastructure,249,280.1,Large,88,Medium,Clear,1,37
Commercial,314,142.88,Medium,73,High,Monsoon,1,77
Residential,429,105.68,Medium,45,High,Clear,0,0
Infrastructure,325,613.95,Large,75,High,Monsoon,1,151
Industrial,208,216.47,Large,158,High,Clear,0,0
Residential,223,56.15,Medium,39,Low,Clear,0,0
Residential,199,44.16,Small,18,Medium,Monsoon,1,42
Infrastructure,406,943.25,Large,126,Medium,Clear,1,75
Infrastructure,317,694.43,Large,124,High,Clear,1,102
Residential,433,65.19,Medium,72,High,Clear,0,0
Residential,328,50.61,Medium,66,High,Rainy,0,0
Residential,240,30.02,Small,5,Medium,Clear,1,47
Commercial,219,102.6,Medium,36,Medium,Rainy,1,38
Commercial,410,327.91,Large,125,Low,Rainy,1,96
Residential,459,83.15,Medium,48,Medium,Rainy,0,0
Commercial,347,142.35,Medium,39,Medium,Rainy,1,94
Infrastructure,347,727.39,Large,129,Medium,Clear,1,152
Residential,439,91.53,Medium,27,Low,Clear,0,0
Residential,285,37.03,Small,20,Medium,Monsoon,1,133
Infrastructure,70,101.3,Medium,70,High,Clear,1,13
Infrastructure,69,103.82,Medium,52,Medium,Clear,0,0
Commercial,330,223.38,Large,62,Medium,Clear,0,0
Commercial,332,103.03,Medium,54,Medium,Monsoon,1,90
Residential,483,74.29,Medium,24,High,Clear,1,126
Commercial,461,257.61,Large,150,Low,Clear,1,255
Commercial,242,105.13,Medium,63,Low,Rainy,1,48
Residential,516,116.45,Medium,31,High,Rainy,1,116
Residential,212,41.63,Small,24,Low,Clear,1,94
Residential,374,64.46,Medium,64,High,Clear,0,0
Residential,393,113.91,Medium,39,High,Rainy,1,171
Residential,183,41.44,Small,13,High,Monsoon,0,0
Residential,532,67.03,Medium,58,High,Rainy,0,0
Residential,173,36.68,Small,8,Low,Clear,0,0
Residential,337,86.32,Medium,70,High,Clear,0,0
Infrastructure,473,948.1,Large,177,High,Monsoon,1,87
Commercial,527,203.45,Large,78,High,Rainy,0,0
Commercial,272,213.85,Large,161,High,Clear,0,0
Infrastructure,231,361.05,Large,150,High,Clear,1,41
Commercial,347,131.69,Medium,64,Medium,Rainy,1,62
Residential,494,67.2,Medium,62,High,Clear,1,53
Commercial,233,81.34,Medium,32,Low,Clear,0,0
Commercial,172,120.7,Medium,32,Low,Clear,1,66
Infrastructure,435,438.24,Large,119,High,Clear,1,145
Commercial,464,168.23,Medium,41,Low,Clear,1,180
Residential,181,48.89,Small,24,High,Rainy,1,22
Residential,91,15.37,Small,19,High,Clear,0,0
Residential,281,29.83,Small,17,High,Clear,0,0
Commercial,178,58.02,Medium,41,High,Clear,0,0
Commercial,98,36.37,Small,15,Medium,Clear,0,0
Residential,327,46.66,Small,23,Medium,Clear,0,0
Industrial,292,398.49,Large,131,High,Clear,0,0
Commercial,490,185.54,Medium,71,Medium,Rainy,0,0
Residential,77,9.53,Small,12,High,Clear,0,0
Residential,208,52.61,Medium,61,Medium,Clear,0,0
Residential,456,106.8,Medium,45,High,Clear,0,0
Residential,208,38.91,Small,20,High,Clear,0,0
Residential,185,38.82,Small,23,High,Monsoon,1,27
Residential,451,73.24,Medium,45,High,Clear,0,0
Residential,361,70.94,Medium,42,Medium,Monsoon,0,0
Residential,419,84.36,Medium,62,Low,Clear,1,90
Infrastructure,297,433.12,Large,136,High,Monsoon,1,71
Residential,194,54.58,Medium,47,Medium,Clear,0,0
Commercial,210,64.69,Medium,28,Medium,Rainy,1,78
Commercial,295,203.87,Large,79,Low,Clear,0,0
Industrial,283,187.26,Medium,38,High,Clear,1,44
Residential,262,67.99,Medium,67,Medium,Monsoon,0,0
Residential,315,70.3,Medium,58,Low,Rainy,1,45
Industrial,145,231.46,Large,110,Medium,Clear,1,34
Infrastructure,209,201.85,Large,71,High,Clear,1,51
Infrastructure,294,514.58,Large,138,High,Clear,1,75
Residential,404,80.89,Medium,50,High,Rainy,0,0
Residential,81,19.54,Small,18,Medium,Clear,1,31
Commercial,407,230.83,Large,70,Medium,Clear,0,0
Industrial,344,413.82,Large,85,High,Rainy,1,46
Commercial,328,168.85,Medium,61,Medium,Monsoon,0,0
Commercial,525,238.57,Large,86,Medium,Rainy,1,181
Residential,317,62.28,Medium,30,Medium,Rainy,0,0
Infrastructure,88,88.13,Medium,57,Medium,Rainy,0,0
Residential,272,79.51,Medium,53,Low,Clear,1,74
Residential,522,126.78,Medium,62,High,Clear,0,0
Commercial,495,384.24,Large,78,Low,Rainy,1,129
Commercial,342,141.37,Medium,25,High,Clear,0,0
Residential,109,30.07,Small,18,High,Monsoon,0,0
Residential,154,40.31,Small,24,High,Clear,0,0
Commercial,522,333.34,Large,161,High,Clear,1,222
Residential,466,104.85,Medium,68,High,Monsoon,1,104
Commercial,147,67.37,Medium,61,High,Rainy,1,47
Residential,103,27.12,Small,5,Low,Clear,0,0
Commercial,520,286.39,Large,158,High,Rainy,1,102
Commercial,337,113.05,Medium,59,Medium,Rainy,0,0
Residential,230,37.39,Small,12,High,Clear,0,0
Residential,480,137.79,Medium,71,Low,Clear,1,166
Residential,248,66.99,Medium,73,Medium,Rainy,0,0
Residential,412,122.11,Medium,66,High,Monsoon,0,0
Industrial,243,319.88,Large,179,Medium,Clear,0,0
Residential,62,9.27,Small,11,Medium,Monsoon,0,0
Infrastructure,250,269.2,Large,70,Medium,Monsoon,1,112
Residential,177,24.32,Small,11,Medium,Clear,1,72
Commercial,78,24.17,Small,8,Medium,Rainy,0,0
Infrastructure,82,120.06,Medium,44,Medium,Clear,0,0
Commercial,472,186.78,Medium,31,High,Clear,0,0
Commercial,89,45.02,Small,10,High,Rainy,1,35
Commercial,354,271.69,Large,169,Low,Monsoon,1,155
Residential,167,31.08,Small,16,High,Rainy,0,0
Industrial,426,699.23,Large,102,Medium,Clear,1,79
Infrastructure,340,621.98,Large,110,High,Clear,1,112
Industrial,187,153.58,Medium,72,Medium,Clear,1,65
Residential,288,49.3,Small,9,Low,Clear,1,37
Infrastructure,170,160.25,Medium,65,High,Clear,0,0
Industrial,195,182.03,Medium,72,High,Rainy,1,49
Residential,421,99.15,Medium,43,Medium,Clear,1,166
Residential,245,28.03,Small,20,Low,Rainy,0,0
Infrastructure,203,233.28,Large,72,High,Clear,0,0
Commercial,131,64.28,Medium,44,High,Rainy,0,0
Infrastructure,188,464.26,Large,177,Low,Clear,1,63
Residential,423,108.7,Medium,73,Medium,Clear,0,0
Infrastructure,320,655.02,Large,116,High,Clear,1,66
Residential,62,7.64,Small,24,High,Clear,0,0
Residential,508,130.15,Medium,73,Medium,Monsoon,1,246
Residential,447,114.9,Medium,23,High,Clear,1,69
Infrastructure,163,296.97,Large,134,High,Rainy,1,28
Commercial,283,225.04,Large,155,Low,Monsoon,1,139
Commercial,379,175.34,Medium,68,High,Rainy,0,0
Residential,421,121.36,Medium,26,Medium,Clear,1,94
Infrastructure,413,972.63,Large,169,High,Monsoon,1,173
Residential,532,54.42,Medium,30,Medium,Clear,1,82
Infrastructure,69,108.0,Medium,47,Medium,Clear,0,0
Commercial,464,365.89,Large,113,High,Monsoon,1,104
Residential,443,53.44,Medium,60,Medium,Rainy,1,68
Commercial,361,207.18,Large,146,High,Clear,0,0
Residential,290,85.78,Medium,64,Low,Clear,1,157
Infrastructure,278,484.93,Large,82,Low,Clear,1,84
Commercial,470,185.61,Medium,69,High,Clear,0,0
Residential,125,27.05,Small,15,High,Clear,0,0
Infrastructure,484,555.41,Large,170,High,Monsoon,0,0
Residential,171,34.87,Small,23,Medium,Monsoon,1,44
Commercial,72,24.27,Small,5,High,Monsoon,0,0
Industrial,452,581.78,Large,95,High,Clear,0,0
Commercial,479,267.47,Large,73,High,Rainy,0,0
Residential,145,35.96,Small,18,High,Monsoon,0,0
Industrial,293,386.73,Large,94,Medium,Monsoon,1,36
Commercial,149,85.65,Medium,49,High,Clear,1,22
Residential,373,88.76,Medium,47,Medium,Clear,0,0
Residential,113,14.55,Small,21,High,Clear,0,0
Infrastructure,71,128.66,Medium,22,High,Rainy,1,17
Commercial,268,103.46,Medium,35,Medium,Rainy,0,0
Commercial,521,397.4,Large,169,Low,Monsoon,0,0
Infrastructure,73,66.88,Medium,49,Medium,Clear,0,0
Infrastructure,180,275.69,Large,175,High,Clear,1,22
Residential,477,114.08,Medium,48,High,Clear,0,0
Residential,496,95.04,Medium,64,Low,Clear,1,172
Residential,436,51.63,Medium,34,High,Clear,0,0
Infrastructure,79,137.52,Medium,65,High,Rainy,1,20
Residential,134,30.6,Small,23,Low,Clear,0,0
Commercial,459,299.22,Large,161,Low,Rainy,1,211
Infrastructure,302,433.23,Large,165,Low,Clear,1,124
Infrastructure,282,495.82,Large,106,Low,Clear,1,90
Residential,129,24.53,Small,24,Low,Clear,0,0
Infrastructure,371,720.67,Large,97,High,Monsoon,1,79
Residential,270,58.51,Medium,42,High,Clear,0,0
Infrastructure,160,271.01,Large,148,Medium,Rainy,1,56
Residential,245,36.73,Small,14,Medium,Clear,1,85
Residential,191,19.18,Small,11,Medium,Monsoon,1,35
Infrastructure,170,186.31,Medium,41,High,Rainy,0,0
Residential,440,54.3,Medium,36,High,Clear,1,184
Residential,191,36.26,Small,22,Medium,Rainy,1,23
Infrastructure,79,145.43,Medium,68,High,Clear,1,10
Infrastructure,453,526.5,Large,100,High,Monsoon,1,90
Commercial,83,63.87,Medium,29,Medium,Clear,0,0
Commercial,286,86.76,Medium,29,Medium,Clear,0,0
Commercial,213,146.15,Medium,26,High,Rainy,0,0
Residential,352,79.21,Medium,67,Medium,Rainy,0,0
Residential,289,50.49,Medium,69,Medium,Clear,1,120
Residential,528,58.13,Medium,57,High,Rainy,0,0
Industrial,369,485.51,Large,150,High,Clear,1,104
Commercial,418,205.99,Large,111,High,Clear,1,157
Commercial,464,356.41,Large,92,High,Rainy,1,83
Commercial,261,149.03,Medium,20,Low,Clear,1,88
Industrial,97,166.99,Medium,63,High,Clear,1,21
Residential,489,70.46,Medium,72,Medium,Monsoon,1,228
Commercial,319,211.45,Large,119,High,Clear,0,0
Commercial,247,150.33,Medium,53,High,Rainy,1,26
Commercial,116,77.69,Medium,23,Medium,Clear,1,21
Residential,488,69.75,Medium,36,High,Clear,1,74
Infrastructure,79,152.51,Medium,23,Medium,Clear,1,31
Industrial,332,380.95,Large,102,High,Rainy,0,0
Commercial,178,119.51,Medium,73,High,Rainy,0,0
Commercial,130,60.26,Medium,45,Medium,Clear,0,0
Industrial,63,104.4,Medium,23,High,Clear,1,16
Infrastructure,280,264.13,Large,60,Low,Monsoon,1,98
Residential,73,19.08,Small,11,Medium,Clear,0,0
Commercial,62,45.3,Small,22,High,Monsoon,0,0
Commercial,275,194.87,Medium,28,High,Clear,0,0
Commercial,288,160.23,Medium,54,Medium,Rainy,0,0
Infrastructure,395,610.38,Large,67,Medium,Clear,0,0
Industrial,245,439.81,Large,83,High,Monsoon,1,75
Industrial,114,90.96,Medium,38,Low,Rainy,1,62
Commercial,447,256.33,Large,95,High,Clear,0,0
Residential,435,101.85,Medium,69,Low,Clear,1,216
Industrial,313,441.68,Large,175,High,Rainy,1,108
Infrastructure,83,95.19,Medium,62,Low,Rainy,1,20
Residential,221,51.01,Medium,46,Medium,Clear,0,0
Industrial,217,339.36,Large,91,High,Clear,0,0
Infrastructure,141,124.79,Medium,33,High,Rainy,1,22
Commercial,462,349.16,Large,77,High,Clear,0,0
Commercial,218,68.62,Medium,47,Low,Rainy,1,115
Residential,247,42.28,Small,20,High,Clear,0,0
Residential,119,12.28,Small,7,High,Monsoon,0,0
Residential,462,53.33,Medium,66,Medium,Monsoon,1,137
Infrastructure,364,855.03,Large,118,Medium,Monsoon,1,86
Residential,378,64.63,Medium,50,Medium,Clear,1,100
Residential,425,78.61,Medium,23,Medium,Monsoon,0,0
Residential,270,38.63,Small,9,High,Clear,1,113
Commercial,465,278.32,Large,76,Low,Rainy,0,0
Industrial,211,268.65,Large,98,High,Clear,0,0
Residential,168,29.31,Small,20,High,Clear,1,39
Residential,135,22.49,Small,18,Medium,Monsoon,0,0
Infrastructure,89,205.1,Large,149,Medium,Clear,1,26
Commercial,373,183.38,Medium,67,High,Rainy,1,142
Residential,176,34.97,Small,11,Medium,Rainy,1,43
Commercial,474,209.34,Large,164,High,Rainy,1,86
Residential,415,106.8,Medium,23,High,Clear,0,0
Residential,251,45.05,Small,15,Low,Clear,0,0
Commercial,78,43.43,Small,6,High,Rainy,1,34
Commercial,491,209.5,Large,167,High,Clear,0,0
Industrial,232,413.88,Large,71,Low,Clear,1,126
Residential,287,45.43,Small,8,Low,Clear,1,141
Commercial,409,280.32,Large,77,Medium,Clear,1,139
Commercial,242,124.33,Medium,45,Medium,Monsoon,1,59
Residential,172,24.29,Small,11,Medium,Clear,0,0
Commercial,242,169.37,Medium,20,Low,Rainy,1,126
Residential,205,34.18,Small,17,Low,Clear,1,50
Industrial,378,614.16,Large,65,High,Clear,0,0
Residential,175,49.53,Small,10,High,Clear,0,0
Commercial,172,125.54,Medium,63,Medium,Clear,1,65
Residential,310,33.17,Small,12,Medium,Clear,1,130
Industrial,535,815.12,Large,83,Medium,Rainy,1,166
Commercial,310,156.76,Medium,41,Medium,Clear,0,0
Commercial,362,266.74,Large,78,Low,Clear,1,172
Residential,518,117.89,Medium,56,High,Clear,0,0
Infrastructure,372,824.8,Large,77,High,Clear,1,140
Residential,177,35.38,Small,9,High,Monsoon,1,35
Infrastructure,360,615.44,Large,89,High,Clear,0,0
Residential,220,28.35,Small,14,High,Clear,0,0
Residential,460,118.13,Medium,52,High,Clear,0,0
Residential,257,47.26,Small,14,Medium,Monsoon,1,102
Commercial,319,175.46,Medium,56,Low,Clear,1,52
Commercial,207,143.36,Medium,31,Medium,Rainy,0,0
Residential,299,65.71,Medium,73,Medium,Clear,0,0
Infrastructure,106,121.04,Medium,49,High,Monsoon,1,35
Commercial,534,317.79,Large,86,Medium,Monsoon,1,100
Commercial,458,230.75,Large,98,Medium,Rainy,0,0
Commercial,257,137.43,Medium,28,Medium,Clear,0,0
Commercial,106,33.3,Small,16,High,Clear,0,0
Commercial,137,55.49,Medium,74,High,Clear,0,0
Residential,183,28.59,Small,5,High,Clear,0,0
Residential,134,32.51,Small,15,Medium,Clear,0,0
Infrastructure,418,342.57,Large,121,Low,Clear,0,0
Industrial,196,202.16,Large,176,Low,Rainy,1,60
Residential,149,42.44,Small,19,Medium,Clear,1,58
Residential,459,56.17,Medium,21,Medium,Clear,1,204
Commercial,384,214.35,Large,111,Low,Clear,1,101
Commercial,120,83.19,Medium,58,High,Monsoon,0,0
Residential,197,56.84,Medium,72,High,Clear,0,0
Residential,109,27.18,Small,16,Low,Rainy,0,0
Infrastructure,318,643.94,Large,113,High,Clear,0,0
Commercial,520,370.89,Large,77,Low,Clear,1,186
Residential,166,31.41,Small,7,Low,Clear,1,57
Residential,172,44.92,Small,11,Medium,Clear,1,74
Residential,409,41.55,Small,15,Low,Monsoon,1,158
Commercial,313,238.59,Large,141,Medium,Rainy,0,0
Residential,177,33.39,Small,16,Medium,Clear,0,0
Residential,257,54.14,Medium,57,High,Monsoon,0,0
Infrastructure,396,488.39,Large,96,High,Clear,1,136
Residential,424,105.37,Medium,52,High,Monsoon,1,215
Commercial,110,37.21,Small,16,Medium,Monsoon,0,0
Residential,304,83.46,Medium,50,High,Clear,1,70
Residential,462,122.72,Medium,30,High,Clear,0,0
Residential,485,69.46,Medium,23,High,Clear,0,0
Infrastructure,94,204.53,Large,141,Medium,Rainy,1,39
Infrastructure,361,771.39,Large,127,Low,Clear,1,190
Infrastructure,469,879.27,Large,172,Low,Monsoon,1,289
Residential,128,22.36,Small,6,Medium,Rainy,1,24
Commercial,408,177.79,Medium,48,Low,Clear,1,122
Residential,379,55.47,Medium,43,Medium,Clear,0,0
Residential,480,78.59,Medium,41,Medium,Rainy,0,0
Infrastructure,527,1231.1,Large,125,Medium,Clear,0,0
Residential,108,12.48,Small,16,High,Rainy,0,0
Residential,464,123.32,Medium,25,Low,Clear,0,0
Residential,133,22.58,Small,14,High,Clear,0,0
Residential,251,51.28,Medium,44,High,Clear,0,0
Residential,320,82.85,Medium,74,Medium,Rainy,1,129
Commercial,415,308.01,Large,116,High,Clear,0,0
Commercial,129,60.94,Medium,40,High,Rainy,1,29
Infrastructure,149,236.18,Large,114,Medium,Clear,1,46
Infrastructure,319,479.99,Large,75,High,Rainy,0,0
Residential,185,18.99,Small,18,Medium,Rainy,1,26
Residential,290,46.16,Small,11,Medium,Clear,1,34
Residential,354,67.91,Medium,47,Medium,Rainy,1,86
Commercial,478,241.65,Large,155,Medium,Clear,0,0
Residential,188,45.94,Small,23,Medium,Clear,0,0
Commercial,339,166.92,Medium,74,Medium,Clear,0,0
Commercial,372,202.62,Large,108,Medium,Rainy,0,0
Commercial,159,81.85,Medium,28,Medium,Monsoon,1,57
Commercial,385,258.07,Large,117,Medium,Rainy,1,91
Residential,356,97.04,Medium,64,Low,Clear,1,134
Industrial,241,287.14,Large,81,High,Rainy,0,0
Infrastructure,233,499.09,Large,91,High,Clear,0,0
Residential,375,59.76,Medium,24,Low,Monsoon,1,152
Infrastructure,423,727.7,Large,146,High,Clear,0,0
Commercial,247,116.74,Medium,24,High,Monsoon,1,100
Infrastructure,116,174.48,Medium,61,Medium,Rainy,0,0
Infrastructure,90,184.06,Medium,72,High,Rainy,1,29
Commercial,143,105.94,Medium,51,High,Rainy,0,0
Residential,211,26.23,Small,14,Low,Clear,0,0
Residential,532,120.73,Medium,58,Medium,Rainy,1,132
Commercial,95,56.15,Medium,34,High,Clear,0,0
Commercial,272,97.7,Medium,26,Low,Rainy,1,84
Residential,473,67.35,Medium,48,Low,Rainy,1,88
Residential,467,75.75,Medium,66,High,Monsoon,1,156
Infrastructure,423,458.44,Large,62,High,Clear,0,0
Industrial,165,134.78,Medium,38,Low,Clear,1,63
Commercial,473,205.19,Large,69,Medium,Clear,1,126
Residential,401,67.02,Medium,47,Medium,Rainy,1,85
Residential,279,69.72,Medium,48,Low,Clear,1,122
Residential,450,96.47,Medium,34,Medium,Clear,0,0
Industrial,222,395.63,Large,94,High,Rainy,1,28
Residential,498,91.11,Medium,25,Medium,Rainy,1,209
Commercial,279,188.86,Medium,31,High,Clear,0,0
Residential,329,90.24,Medium,66,Medium,Clear,1,35
Commercial,179,114.47,Medium,57,Medium,Rainy,0,0
Commercial,453,229.19,Large,136,High,Clear,1,197
Infrastructure,395,822.04,Large,152,Medium,Rainy,1,103
Residential,459,64.6,Medium,38,High,Clear,1,112
Residential,241,39.89,Small,7,High,Monsoon,1,54
Residential,538,112.62,Medium,27,Medium,Clear,1,55
Industrial,165,205.93,Large,67,High,Clear,1,32
Infrastructure,276,231.19,Large,178,Medium,Rainy,0,0
Commercial,264,203.96,Large,143,High,Rainy,0,0
Commercial,129,83.63,Medium,66,Medium,Clear,0,0
Commercial,103,56.43,Medium,23,Low,Rainy,1,17
Residential,388,111.21,Medium,70,Medium,Clear,0,0
Industrial,360,385.5,Large,144,Medium,Monsoon,1,142
Commercial,287,226.79,Large,126,Low,Rainy,1,75
Residential,243,49.2,Small,17,High,Clear,0,0
Commercial,166,59.29,Medium,27,High,Rainy,0,0
Residential,143,36.17,Small,20,High,Clear,0,0
Residential,397,93.6,Medium,32,High,Clear,0,0
Infrastructure,309,653.25,Large,126,Low,Monsoon,1,165
Residential,422,122.5,Medium,67,High,Rainy,0,0
Commercial,500,344.12,Large,68,Medium,Clear,0,0
Residential,80,17.78,Small,18,Medium,Clear,0,0
Residential,255,69.22,Medium,32,High,Clear,1,43
Residential,237,55.61,Medium,72,Medium,Monsoon,0,0
Residential,476,86.45,Medium,26,High,Clear,1,197
Infrastructure,534,1231.17,Large,74,Medium,Clear,0,0
Residential,66,9.53,Small,11,High,Clear,0,0
Commercial,129,84.79,Medium,57,Low,Clear,1,45
Commercial,186,137.79,Medium,53,Low,Clear,1,32
Commercial,458,304.87,Large,100,High,Clear,0,0
Industrial,525,738.39,Large,81,High,Clear,1,126
Infrastructure,219,455.41,Large,83,Medium,Clear,1,37
Residential,307,59.25,Medium,68,High,Monsoon,0,0
Residential,262,72.01,Medium,56,Low,Clear,0,0
Residential,207,29.12,Small,16,Medium,Rainy,1,35
Commercial,531,193.12,Medium,20,High,Rainy,0,0
Residential,202,31.73,Small,14,Low,Rainy,1,70
Commercial,491,277.8,Large,166,Medium,Monsoon,1,197
Commercial,258,143.26,Medium,35,Low,Clear,1,135
Residential,464,122.55,Medium,65,Low,Clear,0,0
Infrastructure,485,721.57,Large,131,High,Clear,0,0
Residential,213,41.93,Small,21,High,Clear,0,0
Residential,435,44.66,Small,22,Low,Rainy,1,149
Infrastructure,443,662.97,Large,71,Low,Rainy,1,242
Commercial,201,125.4,Medium,44,High,Monsoon,1,103
Commercial,372,114.48,Medium,36,Low,Clear,0,0
Commercial,224,98.66,Medium,45,Medium,Monsoon,0,0
Residential,373,52.81,Medium,65,High,Clear,0,0
Infrastructure,80,69.71,Medium,67,Low,Clear,0,0
Infrastructure,141,227.68,Large,137,High,Clear,1,56
Commercial,128,50.03,Medium,60,Low,Rainy,0,0
Residential,190,47.24,Small,8,High,Clear,0,0
Commercial,146,105.7,Medium,42,Medium,Monsoon,0,0
Residential,277,57.93,Medium,62,High,Monsoon,0,0
